,,,,,,value
NetZero2050,r.A,t.coal_extract,1990,r.A,f.biofuels,0.0
NetZero2050,r.A,t.coal_extract,1990,r.A,f.biomass,0.0
NetZero2050,r.A,t.coal_extract,1990,r.A,f.blended_gas,0.0
NetZero2050,r.A,t.coal_extract,1990,r.A,f.coal,0.0
NetZero2050,r.A,t.coal_extract,1990,r.A,f.coal_extract,0.0
NetZero2050,r.A,t.coal_extract,1990,r.A,f.elect,0.0
NetZero2050,r.A,t.coal_extract,1990,r.A,f.hydrogen,0.0
NetZero2050,r.A,t.coal_extract,1990,r.A,f.natgas_extract,0.0
NetZero2050,r.A,t.coal_extract,1990,r.A,f.oil,0.0
NetZero2050,r.A,t.coal_extract,1990,r.A,f.oil_extract,0.0
NetZero2050,r.A,t.coal_extract,1990,r.A,f.uranium_fuel,0.0
NetZero2050,r.A,t.coal_extract,1990,r.A,s.lucf,0.0
NetZero2050,r.A,t.coal_extract,1991,r.A,f.biofuels,0.0
NetZero2050,r.A,t.coal_extract,1991,r.A,f.biomass,0.0
NetZero2050,r.A,t.coal_extract,1991,r.A,f.blended_gas,0.0
NetZero2050,r.A,t.coal_extract,1991,r.A,f.coal,0.0
NetZero2050,r.A,t.coal_extract,1991,r.A,f.coal_extract,0.0
NetZero2050,r.A,t.coal_extract,1991,r.A,f.elect,0.0
NetZero2050,r.A,t.coal_extract,1991,r.A,f.hydrogen,0.0
NetZero2050,r.A,t.coal_extract,1991,r.A,f.natgas_extract,0.0
NetZero2050,r.A,t.coal_extract,1991,r.A,f.oil,0.0
NetZero2050,r.A,t.coal_extract,1991,r.A,f.oil_extract,0.0
NetZero2050,r.A,t.coal_extract,1991,r.A,f.uranium_fuel,0.0
NetZero2050,r.A,t.coal_extract,1991,r.A,s.lucf,0.0
NetZero2050,r.A,t.coal_extract,1992,r.A,f.biofuels,0.0
NetZero2050,r.A,t.coal_extract,1992,r.A,f.biomass,0.0
