,,,,,,value
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.DAC,0.0
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.biomass_ref,0.0
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.blender,0.0
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.coal_extract,170.87583186774913
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.coal_ref,0.0
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.elect,0.0
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.elect_storage,0.0
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.elect_trans,0.0
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.forestry,0.0
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.hydrogen,0.0
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.hydrogen_storage,0.0
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.natgas_extract,0.0
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.oil_extract,0.0
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.oil_ref,0.0
STEPS_newcap,r.A,f.coal_extract,1990,r.A,s.uranium,0.0
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.DAC,0.0
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.biomass_ref,0.0
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.blender,0.0
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.coal_extract,158.19598996308036
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.coal_ref,0.0
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.elect,0.0
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.elect_storage,0.0
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.elect_trans,0.0
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.forestry,0.0
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.hydrogen,0.0
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.hydrogen_storage,0.0
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.natgas_extract,0.0
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.oil_extract,0.0
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.oil_ref,0.0
STEPS_newcap,r.A,f.coal_extract,1991,r.A,s.uranium,0.0
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.DAC,0.0
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.biomass_ref,0.0
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.blender,0.0
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.coal_extract,143.18565799945443
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.coal_ref,0.0
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.elect,0.0
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.elect_storage,0.0
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.elect_trans,0.0
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.forestry,0.0
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.hydrogen,0.0
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.hydrogen_storage,0.0
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.natgas_extract,0.0
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.oil_extract,0.0
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.oil_ref,0.0
STEPS_newcap,r.A,f.coal_extract,1992,r.A,s.uranium,0.0
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.DAC,0.0
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.biomass_ref,0.0
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.blender,0.0
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.coal_extract,121.12716881000001
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.coal_ref,0.0
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.elect,0.0
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.elect_storage,0.0
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.elect_trans,0.0
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.forestry,0.0
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.hydrogen,0.0
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.hydrogen_storage,0.0
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.natgas_extract,0.0
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.oil_extract,0.0
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.oil_ref,0.0
STEPS_newcap,r.A,f.coal_extract,1993,r.A,s.uranium,0.0
STEPS_newcap,r.A,f.coal_extract,1994,r.A,s.DAC,0.0
STEPS_newcap,r.A,f.coal_extract,1994,r.A,s.biomass_ref,0.0
STEPS_newcap,r.A,f.coal_extract,1994,r.A,s.blender,0.0
STEPS_newcap,r.A,f.coal_extract,1994,r.A,s.coal_extract,126.88926858919325
STEPS_newcap,r.A,f.coal_extract,1994,r.A,s.coal_ref,0.0
STEPS_newcap,r.A,f.coal_extract,1994,r.A,s.elect,0.0
STEPS_newcap,r.A,f.coal_extract,1994,r.A,s.elect_storage,0.0
STEPS_newcap,r.A,f.coal_extract,1994,r.A,s.elect_trans,0.0
STEPS_newcap,r.A,f.coal_extract,1994,r.A,s.forestry,0.0
STEPS_newcap,r.A,f.coal_extract,1994,r.A,s.hydrogen,0.0
STEPS_newcap,r.A,f.coal_extract,1994,r.A,s.hydrogen_storage,0.0
STEPS_newcap,r.A,f.coal_extract,1994,r.A,s.natgas_extract,0.0
STEPS_newcap,r.A,f.coal_extract,1994,r.A,s.oil_extract,0.0
